,1-1.txt,1-2.txt,1-3.txt,1-4.txt,1-5.txt,2-1.txt,2-2.txt,2-3.txt,2-4.txt,3-1.txt,3-2.txt,3-3.txt,4-1.txt,4-2.txt,4-3.txt,4-4.txt,5-1.txt,5-2.txt,5-3.txt,5-4.txt,6-1.txt,6-2.txt,6-3.txt,6-4.txt,6-5.txt,7-1.txt,7-2.txt,7-3.txt,7-4.txt,7-5.txt,8-1.txt,8-2.txt,8-3.txt,8-4.txt,9-1.txt,9-2.txt,9-3.txt,9-4.txt,9-5.txt,9-6.txt,10-1.txt,10-2.txt,10-3.txt,10-4.txt,10-5.txt,11.c,12.c,13.c,14.c,sum
20190001,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,7.00,0.00,7.00,7.00,9.00,9.00,9.00,9.00,3.00,3.00,3.00,3.00,3.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,2.59,3.14,2.17,9.87,1.22,4.15,0.00,12.35,0.00,0.00,12.97,33.48,0.00,1.00,0.00,3.00,0.00,204.94
20190002,10.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,5.00,0.00,0.00,7.00,7.00,0.00,7.00,9.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,9.87,1.22,0.00,6.55,12.35,0.00,1.00,0.00,33.48,0.00,0.00,0.00,0.00,0.00,131.64
20190003,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,7.00,9.00,0.00,0.00,9.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,2.17,9.87,0.00,4.15,6.55,12.35,0.00,0.00,12.97,0.00,0.00,0.00,100.00,3.00,0.00,188.65
20190004,0.00,10.00,10.00,0.00,10.00,10.00,10.00,10.00,0.00,5.00,5.00,5.00,7.00,7.00,7.00,0.00,9.00,9.00,0.00,9.00,3.00,3.00,3.00,0.00,3.00,1.00,0.00,1.00,0.00,0.00,0.00,2.50,2.59,0.00,2.17,9.87,1.22,4.15,6.55,12.35,0.00,0.00,12.97,0.00,0.00,1.00,0.00,3.00,0.00,195.37
20190005,10.00,0.00,10.00,10.00,10.00,0.00,0.00,10.00,0.00,5.00,0.00,0.00,7.00,0.00,7.00,7.00,9.00,0.00,0.00,9.00,3.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,0.00,2.50,2.59,3.14,2.17,9.87,1.22,4.15,6.55,12.35,0.00,0.00,12.97,33.48,55.47,1.00,0.00,3.00,3000.00,3264.46
20190006,10.00,0.00,10.00,10.00,10.00,10.00,0.00,0.00,10.00,5.00,0.00,0.00,7.00,7.00,0.00,7.00,9.00,9.00,9.00,9.00,3.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,2.59,3.14,0.00,9.87,1.22,4.15,6.55,12.35,9.00,0.00,12.97,33.48,0.00,1.00,0.00,3.00,3000.00,3241.32
20190007,10.00,0.00,10.00,0.00,0.00,10.00,0.00,0.00,0.00,5.00,0.00,0.00,7.00,0.00,0.00,7.00,9.00,0.00,0.00,9.00,3.00,3.00,3.00,3.00,3.00,1.00,0.00,1.00,1.00,1.00,0.00,0.00,2.59,0.00,2.17,9.87,0.00,0.00,6.55,0.00,0.00,0.00,12.97,0.00,0.00,0.00,100.00,3.00,0.00,223.15
20190008,0.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,5.00,0.00,0.00,7.00,7.00,7.00,7.00,9.00,9.00,9.00,9.00,0.00,3.00,0.00,3.00,3.00,1.00,1.00,1.00,1.00,0.00,2.50,0.00,2.59,3.14,2.17,9.87,1.22,4.15,6.55,12.35,0.00,0.00,12.97,33.48,0.00,1.00,0.00,0.00,0.00,243.99
20190009,0.00,10.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,5.00,5.00,5.00,7.00,0.00,0.00,7.00,9.00,9.00,9.00,9.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,1.00,0.00,0.00,0.00,2.50,0.00,0.00,0.00,9.87,1.22,4.15,6.55,12.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,128.64
20190010,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,7.00,7.00,7.00,7.00,9.00,9.00,9.00,9.00,3.00,3.00,3.00,0.00,3.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,3.14,2.17,9.87,1.22,4.15,0.00,12.35,0.00,0.00,12.97,33.48,55.47,1.00,0.00,3.00,3000.00,3233.82
20190011,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,2.50,0.00,2.59,3.14,2.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,33.48,0.00,1.00,0.00,3.00,3000.00,3075.88
20190012,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,7.00,7.00,7.00,9.00,9.00,0.00,9.00,3.00,3.00,3.00,0.00,3.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,2.59,3.14,2.17,9.87,1.22,4.15,6.55,12.35,0.00,0.00,12.97,33.48,0.00,1.00,100.00,3.00,0.00,312.49
20190013,10.00,10.00,10.00,10.00,10.00,10.00,10.00,0.00,10.00,5.00,0.00,0.00,7.00,7.00,7.00,7.00,9.00,9.00,0.00,9.00,3.00,0.00,0.00,3.00,3.00,1.00,0.00,1.00,0.00,1.00,0.00,2.50,2.59,3.14,2.17,9.87,1.22,4.15,0.00,12.35,0.00,0.00,12.97,33.48,55.47,1.00,100.00,3.00,3000.00,3395.91
20190014,10.00,10.00,0.00,10.00,10.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,7.00,7.00,0.00,7.00,0.00,9.00,9.00,0.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.17,0.00,1.22,4.15,6.55,12.35,0.00,0.00,12.97,33.48,0.00,1.00,0.00,0.00,0.00,166.89
20190015,10.00,10.00,10.00,10.00,10.00,10.00,0.00,0.00,0.00,5.00,5.00,5.00,7.00,7.00,0.00,7.00,9.00,9.00,9.00,9.00,3.00,3.00,3.00,3.00,3.00,1.00,0.00,1.00,0.00,1.00,2.50,2.50,2.59,3.14,2.17,9.87,1.22,4.15,6.55,12.35,0.00,0.00,12.97,33.48,0.00,1.00,100.00,3.00,0.00,347.49
